SITE_ID,PATCH,PLOT,SECTION,Area_m2,Perimeter_m,P1A,P2A,IsoperimetricInequality(Q),CarbonPool,MgC/Ha,AG(MgC/Ha),BG(MgC/Ha),Soil(MgC/Ha)
RGI,2,2,Edge,9647.35,843.48,0.087431264,73.74652214,0.170399502,AG,4.855133333,4.855133333,5.266112608,172.5463004
RGI,2,3,Edge,9647.35,843.48,0.087431264,73.74652214,0.170399502,AG,8.69015,8.69015,10.71590311,202.6250774
RGI,2,1,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,AG,4.228466667,4.228466667,7.617949952,182.3466206
RGI,2,2,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,AG,7.497966667,7.497966667,10.93451716,184.4111165
RGI,2,3,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,AG,7.827783333,7.827783333,7.519692012,252.4245383
RGI,3,1,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,AG,1.33452037,1.33452037,10.60725377,242.8696142
RGI,3,2,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,AG,1.706883333,1.706883333,45.40648059,227.2441081
RGI,3,3,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,AG,4.875766667,4.875766667,5.910208534,249.1218133
RGI,3,1,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,AG,0.77665,0.77665,28.51690087,212.8771514
RGI,3,2,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,AG,0.7118,0.7118,39.22425409,201.4277872
RGI,3,3,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,AG,2.507083333,2.507083333,33.47846647,230.8737227
FLS,1,1,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,BG,6.098306064,,,
FLS,1,2,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,BG,23.78447225,,,
FLS,1,3,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,BG,16.36843118,,,
FLS,1,1,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,BG,13.65088226,,,
FLS,1,2,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,BG,36.15708053,,,
FLS,1,3,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,BG,21.04956047,,,
FLS,2,1,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,BG,20.43239012,,,
FLS,2,2,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,BG,41.67083734,,,
FLS,2,3,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,BG,20.87540584,,,
FLS,2,1,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,BG,28.8661309,,,
FLS,2,2,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,BG,31.71350658,,,
FLS,2,3,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,BG,19.07795637,,,
FLS,3,1,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,BG,32.64728585,,,
FLS,3,2,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,BG,23.80104588,,,
FLS,3,3,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,BG,36.69980109,,,
FLS,3,1,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,BG,25.44604427,,,
FLS,3,2,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,BG,18.62823227,,,
FLS,3,3,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,BG,31.60551492,,,
GNP,1,1,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,BG,16.79105871,,,
GNP,1,2,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,BG,25.61756817,,,
GNP,1,3,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,BG,30.81760988,,,
GNP,1,1,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,BG,21.98794354,,,
GNP,1,2,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,BG,26.93306705,,,
GNP,1,3,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,BG,24.74140199,,,
GNP,2,1,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,BG,8.983432788,,,
GNP,2,2,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,BG,37.65462624,,,
GNP,2,3,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,BG,17.17133141,,,
GNP,2,1,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,BG,15.74284248,,,
GNP,2,2,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,BG,20.21601219,,,
GNP,2,3,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,BG,17.4896503,,,
GNP,3,1,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,BG,24.59026628,,,
